,Contact Infectivity,Duration,Infectious,Recovered,Recovering,Succumbing,Susceptible,Total Population
14.75,0.3,5,20.087092626159748,32.50823192245457,4.01741852523195,5.73931228001389,952.4046754513874,1000
14.875,0.3,5,20.302991130353423,33.01242983948701,4.0605982260706845,5.7966130700830485,951.6845790301613,1000
15.0,0.3,5,20.520655411986702,33.52204177000222,4.10413108239734,5.8542801367922195,950.9573028180129,1000
15.125,0.3,5,20.740086984427517,34.03711187328558,4.148017396885503,5.912311065083231,950.2228011422886,1000
15.25,0.3,5,20.96128701835773,34.55768434325949,4.192257403671546,5.970703307932413,949.4810286383845,1000
15.375,0.3,5,21.18425633382772,35.083803399841756,4.236851266765544,6.029454184407512,948.7319402663322,1000
15.5,0.3,5,21.408995392268068,35.61551328010505,4.281799078453614,6.088560877744878,947.9754913276287,1000
15.625,0.3,5,21.635504288462005,36.15285822923618,4.327100857692401,6.148020433448848,947.2116374823034,1000
15.75,0.3,5,21.863782742482393,36.695882491294434,4.372756548496478,6.207829757415314,946.4403347662249,1000
15.875,0.3,5,22.093830091597287,37.244630299767934,4.418766018319458,6.267985614081453,945.6615396086364,1000
16.0,0.3,5,22.32564528214809,37.79914586792748,4.465129056429618,6.328484624603713,944.8752088499261,1000
16.125,0.3,5,22.559226861404685,38.35947337897702,4.511845372280937,6.38932326506612,944.08129975962,1000
16.25,0.3,5,22.794572969401838,38.9256569760004,4.558914593880368,6.450497864721046,943.2797700545996,1000
16.375,0.3,5,23.031681330761614,39.4977407517038,4.606336266152323,6.51200460426463,942.4705779175364,1000
16.5,0.3,5,23.27054924650639,40.075768737953716,4.654109849301278,6.573839514149021,941.6536820155417,1000
16.625,0.3,5,23.511173585867496,40.65978489511016,4.702234717173499,6.635998472933734,940.8290415190241,1000
16.75,0.3,5,23.75355077809441,41.24983310115508,4.750710155618882,6.698477205678361,939.9966161207522,1000
16.875,0.3,5,23.997676804269876,41.8459571406161,4.799535360853975,6.761271282378972,939.1563660551158,1000
17.0,0.3,5,24.24354718913615,42.44820069328564,4.84870943782723,6.824376116450523,938.30825211758,1000
17.125,0.3,5,24.491156992938063,43.05660732273596,4.898231398587613,6.887786963257693,937.4522356843277,1000
17.25,0.3,5,24.740500803288466,43.67122046463034,4.9481001606576935,6.9514989186964975,936.5882787320829,1000
17.375,0.3,5,24.991572727061993,44.29208341483129,4.9983145454123985,7.01550691782914,935.7163438581085,1000
17.5,0.3,5,25.244366382323093,44.9192393173063,5.048873276464619,7.0798057335745375,934.8363943003725,1000
17.625,0.3,5,25.498874890294537,45.55273115183223,5.099774978058908,7.144389975457011,933.948393957875,1000
17.75,0.3,5,25.75509086737264,46.19260172149932,5.151018173474528,7.209254088415608,933.0523074111298,1000
17.875,0.3,5,26.01300641719578,46.83889364001604,5.202601283439156,7.274392351676594,932.1480999427899,1000
18.0,0.3,5,26.27261312277272,47.491649318816215,5.254522624554545,7.339798877691627,931.2357375584128,1000
18.125,0.3,5,26.533902038677603,48.15091095396999,5.306780407735521,7.40546761114415,930.3151870073541,1000
18.25,0.3,5,26.79686368331844,48.81672051290037,5.359372736663688,7.471392328026564,929.3864158037829,1000
18.375,0.3,5,27.06148803128623,49.48911972090708,5.412297606257246,7.537566634790713,928.4493922478085,1000
18.5,0.3,5,27.327764505791883,50.16815004750015,5.465552901158377,7.603983967574267,927.5040854467098,1000
18.625,0.3,5,27.5956819711983,50.85385269254516,5.51913639423966,7.670637591505553,926.5504653362583,1000
18.75,0.3,5,27.865228725655058,51.546268572222786,5.573045745131012,7.737520600089382,925.5885027021238,1000
18.875,0.3,5,28.13639249384334,52.24543830480525,5.627278498768668,7.8046259146764365,924.6181692013531,1000
19.0,0.3,5,28.409160419838848,52.951402196252424,5.68183208396777,7.871946284018763,923.6394373839105,1000
