00:00:00:000   	outinfectious			5
00:00:02:016			outrecovered			1.23465
00:00:02:033			outrecovered			1.247
00:00:02:050   	outinfectious			7.51876
00:00:02:050			outrecovered			1.25947
00:00:02:066			outrecovered			1.27206
00:00:02:083			outrecovered			1.28478
00:00:02:100   	outinfectious			7.59395
00:00:02:100   		outrecovered			1.29763
00:00:02:117			outrecovered			1.31061
00:00:02:135			outrecovered			1.32372
00:00:02:150   	outinfectious			7.66989
00:00:02:152			outrecovered			1.33695
00:00:02:1702			outrecovered			1.35032
00:00:02:187   		outrecovered			1.36382
00:00:02:200   	outinfectious			7.74659
00:00:02:205			outrecovered			1.37746
00:00:02:223			outrecovered			1.39124
00:00:02:241			outrecovered			1.40515
00:00:02:250   	outinfectious			7.82405
00:00:02:259			outrecovered			1.4192
00:00:02:277			outrecovered			1.43339
00:00:02:295   		outrecovered			1.44773
00:00:02:300   	outinfectious			7.90229
00:00:02:313			outrecovered			1.4622
00:00:02:332			outrecovered			1.47683
00:00:02:350   	outinfectious			7.98132
00:00:02:351			outrecovered			1.4916
00:00:02:369			outrecovered			1.50651
00:00:02:388			outrecovered			1.52158
00:00:02:400   	outinfectious			8.06113
00:00:02:407			outrecovered			1.53679
00:00:02:426			outrecovered			1.55216
00:00:02:4464			outrecovered			1.56768
00:00:02:450   	outinfectious			8.14174
00:00:02:465			outrecovered			1.58336
00:00:02:484			outrecovered			1.59919
00:00:02:500   	outinfectious			8.22316
00:00:02:504			outrecovered			1.61518
00:00:02:5241			outrecovered			1.63134
00:00:02:543   		outrecovered			1.64765
00:00:02:550   	outinfectious			8.30539
00:00:02:563			outrecovered			1.66413
00:00:02:583   		outrecovered			1.68077
00:00:02:600   	outinfectious			8.38844
00:00:02:603			outrecovered			1.69757
00:00:02:624			outrecovered			1.71455
00:00:02:644			outrecovered			1.7317
00:00:02:650   	outinfectious			8.47233
00:00:02:665			outrecovered			1.74901
00:00:02:685			outrecovered			1.7665
00:00:02:700   	outinfectious			8.55705
00:00:02:706			outrecovered			1.78417
00:00:02:727			outrecovered			1.80201
00:00:02:748			outrecovered			1.82003
00:00:02:750   	outinfectious			8.64262
00:00:02:769			outrecovered			1.83823
00:00:02:790			outrecovered			1.85661
00:00:02:800   	outinfectious			8.72905
00:00:02:812			outrecovered			1.87518
00:00:02:833			outrecovered			1.89393
00:00:02:850   	outinfectious			8.81634
00:00:02:855			outrecovered			1.91287
00:00:02:8771			outrecovered			1.932
00:00:02:898			outrecovered			1.95132
00:00:02:900   	outinfectious			8.9045
00:00:02:920			outrecovered			1.97083
00:00:02:942   		outrecovered			1.99054
00:00:02:950   	outinfectious			8.99355
00:00:02:965			outrecovered			2.01045
00:00:02:987			outrecovered			2.03055
00:00:03:000   	outinfectious			9.08348
00:00:03:0103			outrecovered			2.05085
00:00:03:032			outrecovered			2.07136
00:00:03:050   	outinfectious			9.17432
00:00:03:055			outrecovered			2.09208
00:00:03:078			outrecovered			2.113
00:00:03:100   	outinfectious			9.26606
00:00:03:101			outrecovered			2.13413
00:00:03:124   		outrecovered			2.15547
00:00:03:147			outrecovered			2.17702
00:00:03:150   	outinfectious			9.35872
00:00:03:170			outrecovered			2.19879
00:00:03:194			outrecovered			2.22078
00:00:03:200   	outinfectious			9.45231
